country,index,time,count,total_encounter_duration
CAN,65,2001-01-01 00:00:00+00:00,169,1 days 17:18:00
CAN,66,2002-01-01 00:00:00+00:00,204,1 days 15:55:02.500000
CAN,67,2003-01-01 00:00:00+00:00,337,3 days 04:27:55
CAN,68,2004-01-01 00:00:00+00:00,315,2 days 14:56:41.700000
CAN,69,2005-01-01 00:00:00+00:00,218,1 days 19:12:55
CAN,70,2006-01-01 00:00:00+00:00,174,7 days 22:33:35.500000
CAN,71,2007-01-01 00:00:00+00:00,188,3 days 19:31:40.500000
CAN,72,2008-01-01 00:00:00+00:00,138,1 days 06:28:06
CAN,73,2009-01-01 00:00:00+00:00,153,1 days 19:03:38
CAN,74,2010-01-01 00:00:00+00:00,158,959 days 22:09:44.500000
CAN,75,2011-01-01 00:00:00+00:00,150,1 days 10:39:44
CAN,76,2012-01-01 00:00:00+00:00,286,3 days 13:46:51
CAN,77,2013-01-01 00:00:00+00:00,314,2 days 01:52:41.520000
CAN,78,2014-01-01 00:00:00+00:00,61,0 days 11:51:31
GBR,0,1943-01-01 00:00:00+00:00,1,0 days 00:10:00
GBR,1,1944-01-01 00:00:00+00:00,0,0 days 00:00:00
GBR,2,1945-01-01 00:00:00+00:00,0,0 days 00:00:00
GBR,3,1946-01-01 00:00:00+00:00,0,0 days 00:00:00
GBR,4,1947-01-01 00:00:00+00:00,0,0 days 00:00:00
GBR,5,1948-01-01 00:00:00+00:00,0,0 days 00:00:00
GBR,6,1949-01-01 00:00:00+00:00,0,0 days 00:00:00
GBR,7,1950-01-01 00:00:00+00:00,0,0 days 00:00:00
GBR,8,1951-01-01 00:00:00+00:00,1,0 days 00:00:15
GBR,9,1952-01-01 00:00:00+00:00,1,0 days 00:02:00
GBR,10,1953-01-01 00:00:00+00:00,0,0 days 00:00:00
GBR,11,1954-01-01 00:00:00+00:00,2,0 days 00:07:00
GBR,12,1955-01-01 00:00:00+00:00,3,0 days 00:30:20
GBR,13,1956-01-01 00:00:00+00:00,0,0 days 00:00:00
GBR,14,1957-01-01 00:00:00+00:00,1,0 days 00:10:00
GBR,15,1958-01-01 00:00:00+00:00,0,0 days 00:00:00
GBR,16,1959-01-01 00:00:00+00:00,0,0 days 00:00:00
GBR,17,1960-01-01 00:00:00+00:00,1,0 days 00:00:25
